iter	Passed	Remaining
0	140	139874
1	141	70658
2	143	47595
3	144	35887
4	144	28854
5	145	24169
6	146	20818
7	147	18310
8	148	16336
9	149	14754
10	149	13463
11	150	12391
12	151	11486
13	152	10708
14	152	10035
15	153	9441
16	154	8922
17	155	8473
18	156	8060
19	156	7687
20	157	7350
21	158	7040
22	159	6755
23	159	6493
24	160	6251
25	160	6029
26	161	5824
27	162	5638
28	163	5460
29	163	5292
30	164	5136
31	165	4991
32	165	4854
33	166	4726
34	167	4605
35	167	4490
36	168	4381
37	169	4280
38	169	4187
39	170	4096
40	171	4007
41	171	3922
42	172	3841
43	173	3764
44	173	3691
45	174	3620
46	175	3553
47	175	3488
48	176	3426
49	177	3367
50	177	3310
51	178	3255
52	179	3207
53	180	3163
54	181	3120
55	182	3073
56	182	3027
57	183	2982
58	184	2942
59	185	2903
60	186	2863
61	186	2824
62	187	2786
63	187	2749
64	188	2713
65	189	2678
66	189	2645
67	190	2613
68	191	2581
69	191	2550
70	192	2520
71	193	2491
72	194	2465
73	195	2440
74	195	2416
75	196	2391
76	197	2365
77	198	2340
78	198	2317
79	199	2296
80	200	2274
81	201	2251
82	201	2226
83	202	2205
84	202	2183
85	203	2163
86	204	2142
87	204	2122
88	205	2103
89	206	2086
90	207	2068
91	207	2050
92	208	2032
93	209	2015
94	209	1997
95	210	1980
96	210	1964
97	211	1947
98	212	1931
99	212	1916
100	213	1901
101	214	1889
102	215	1874
103	215	1859
104	216	1845
105	217	1831
106	217	1817
107	218	1803
108	219	1791
109	219	1778
110	220	1765
111	221	1754
112	222	1743
113	222	1732
114	223	1720
115	224	1708
116	224	1696
117	225	1685
118	226	1673
119	226	1662
120	227	1651
121	227	1639
122	228	1630
123	229	1621
124	230	1612
125	231	1602
126	231	1591
127	232	1581
128	232	1572
129	233	1562
130	234	1552
131	234	1543
132	235	1534
133	236	1526
134	236	1517
135	237	1508
136	238	1499
137	238	1491
138	239	1482
139	240	1474
140	240	1466
141	241	1456
142	241	1448
143	242	1440
144	243	1432
145	243	1425
146	244	1419
147	245	1412
148	246	1405
149	246	1398
150	247	1390
151	247	1383
152	248	1376
153	249	1369
154	249	1362
155	250	1356
156	251	1349
157	252	1344
158	252	1337
159	253	1333
160	254	1326
161	255	1320
162	255	1314
163	256	1308
164	257	1301
165	257	1295
166	258	1290
167	259	1285
168	260	1279
169	260	1273
170	261	1267
171	262	1261
172	262	1256
173	263	1250
174	264	1245
175	264	1239
176	265	1234
177	266	1228
178	266	1223
179	267	1218
180	268	1213
181	268	1208
182	269	1203
183	270	1198
184	270	1193
185	271	1188
186	272	1183
187	272	1178
188	273	1175
189	275	1172
190	275	1167
191	276	1163
192	277	1159
193	278	1154
194	278	1150
195	279	1146
196	280	1142
197	281	1138
198	281	1133
199	282	1129
200	282	1124
201	283	1120
202	284	1116
203	285	1112
204	285	1108
205	286	1103
206	287	1099
207	287	1095
208	288	1092
209	289	1089
210	290	1085
211	291	1081
212	291	1077
213	292	1073
214	292	1069
215	293	1065
216	294	1061
217	294	1057
218	295	1053
219	296	1050
220	296	1046
221	297	1042
222	298	1039
223	299	1036
224	299	1032
225	300	1028
226	300	1024
227	301	1021
228	302	1017
229	302	1014
230	303	1011
231	304	1008
232	305	1005
233	306	1001
234	306	998
235	307	994
236	307	991
237	308	987
238	309	984
239	309	980
240	310	977
241	311	974
242	311	970
243	312	968
244	313	965
245	313	961
246	314	958
247	315	955
248	315	952
249	316	949
250	317	946
251	317	943
252	318	941
253	319	938
254	320	935
255	320	932
256	321	929
257	322	926
258	322	923
259	323	920
260	324	917
261	324	914
262	325	911
263	325	908
264	326	905
265	327	902
266	327	899
267	328	897
268	329	894
269	329	891
270	330	888
271	331	885
272	331	883
273	332	880
274	333	880
275	335	878
276	336	877
277	337	875
278	337	873
279	338	871
280	339	869
281	340	866
282	341	864
283	342	862
284	342	860
285	343	857
286	344	854
287	344	852
288	345	849
289	346	847
290	346	845
291	347	843
292	348	841
293	349	839
294	350	837
295	351	835
296	351	833
297	352	830
298	353	828
299	354	826
300	354	824
301	355	821
302	356	819
303	356	817
304	357	815
305	358	812
306	358	810
307	359	807
308	360	805
309	360	803
310	361	800
311	362	798
312	362	796
313	363	794
314	364	792
315	365	790
316	365	788
317	366	786
318	367	783
319	367	781
320	368	779
321	369	777
322	369	775
323	370	773
324	371	771
325	371	769
326	372	766
327	373	764
328	373	762
329	374	760
330	375	758
331	375	756
332	376	754
333	377	752
334	377	750
335	378	748
336	379	746
337	380	744
338	380	742
339	381	740
340	381	738
341	382	736
342	383	733
343	383	732
344	384	730
345	385	728
346	385	726
347	386	724
348	387	722
349	387	720
350	388	718
351	389	716
352	389	714
353	390	712
354	391	710
355	391	708
356	392	707
357	393	705
358	394	704
359	394	702
360	395	700
361	396	698
362	396	696
363	397	694
364	398	692
365	399	691
366	399	689
367	400	687
368	400	685
369	401	683
370	402	682
371	402	680
372	403	678
373	404	676
374	405	675
375	405	673
376	406	671
377	406	669
378	407	668
379	408	666
380	409	665
381	410	663
382	410	661
383	411	660
384	412	658
385	412	656
386	413	654
387	414	653
388	414	651
389	415	649
390	416	648
391	416	646
392	417	644
393	418	643
394	418	641
395	419	639
396	419	637
397	420	636
398	421	634
399	421	632
400	422	631
401	423	629
402	423	628
403	424	626
404	425	624
405	425	623
406	426	621
407	427	619
408	427	618
409	428	616
410	429	614
411	429	613
412	430	611
413	431	610
414	431	608
415	432	606
416	432	605
417	433	603
418	434	602
419	434	600
420	435	598
421	436	597
422	436	595
423	437	594
424	438	593
425	439	591
426	440	590
427	440	589
428	441	587
429	442	586
430	442	584
431	443	583
432	444	581
433	444	580
434	445	578
435	446	577
436	446	575
437	447	573
438	447	572
439	448	571
440	449	569
441	449	568
442	450	566
443	451	565
444	451	563
445	452	562
446	453	560
447	454	559
448	455	558
449	455	556
450	456	555
451	457	554
452	457	552
453	458	551
454	459	550
455	460	549
456	461	547
